Country,kgproduct
Spain,2646442
Singapore,1201236
Taiwan,990664
Indonesia,681012
United Arab Emirates,511197
Costa Rica,327385
United States,251310
Yemen,226738
Mexico,216833
Brazil,200732
Argentina,185380
South Africa,182953
Netherlands,171863
Japan,162276
Ecuador,134726
Peru,121548
India,117241
South Korea,104177
Trinidad and Tobago,103104
Australia,95014
Fiji,93884
Panama,85151
New Zealand,79789
Philippines,73320
Senegal,70796
Guyana,58369
Canada,57828
Oman,55757
Guinea Conakry,50735
Madagascar,40107
Pakistan,39807
Sri Lanka,39448
Uruguay,39059
Norway,38326
Mauritania,37396
Chile,36249
Colombia,27247
Malaysia,25341
Togo,24918
El Salvador,21591
Gabon,19922
Mauritius,18844
Guatemala,18070
Papua New Guinea,17258
Bangladesh,16899
Marshall Islands,16870
Congo,15101
Morocco,14623
Mozambique,14622
Venezuela,14592
China,13096
Vietnam,12078
Kenya,10984
Saudi Arabia,8858
Nicaragua,8657
Tonga,7981
Maldives,7593
Tunisia,7045
Egypt,6666
Andorra,5932
Namibia,5280
Gambia,4288
Liberia,4215
Suriname,3809
Tanzania ,3024
Seychelles,2594
Germany,2512
Solomon Islands,2423
Honduras,2210
Angola,2134
Kuwait,1865
Kiribati,1546
Cuba,1333
Nigeria,1308
Cote D'Ivoire,1062
Turkey,1048
France,847
Iceland,708
Sudan,377
Iran,300
Macau,222
Micronesia,217
Bahrain,114